"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2015","0.770","0.740","0.770","0.740","0.25K","0.00%"
"04/06/2015","0.770","0.710","0.770","0.710","83.45K","0.00%"
"04/05/2015","0.770","0.710","0.810","0.710","153.12K","2.67%"
"04/02/2015","0.750","0.660","0.830","0.660","289.29K","2.74%"
"04/01/2015","0.730","0.720","0.730","0.720","451.40K","-8.75%"
"03/31/2015","0.800","0.760","0.840","0.760","153.70K","-4.76%"
"03/30/2015","0.840","0.860","0.860","0.790","206.49K","-1.18%"
"03/29/2015","0.850","0.750","0.860","0.680","926.99K","13.33%"
"03/25/2015","0.750","0.750","0.750","0.750","860.00K","-6.25%"
"03/24/2015","0.800","0.750","0.800","0.720","849.00K","14.29%"
"03/19/2015","0.700","0.690","0.700","0.690","830.00K","1.45%"
"03/18/2015","0.690","0.650","0.690","0.650","1.50K","-1.43%"
"03/17/2015","0.700","0.630","0.700","0.630","66.11K","0.00%"
"03/16/2015","0.700","0.700","0.700","0.700","48.50K","-6.67%"
"03/15/2015","0.750","0.700","0.750","0.700","139.98K","0.00%"
"03/12/2015","0.750","0.730","0.750","0.730","161.46K","-1.32%"
"03/11/2015","0.760","0.710","0.760","0.710","179.77K","7.04%"
"03/10/2015","0.710","0.700","0.750","0.700","101.00K","-2.74%"
"03/09/2015","0.730","0.710","0.730","0.710","156.32K","0.00%"
"03/08/2015","0.730","0.740","0.740","0.730","101.92K","1.39%"
"03/03/2015","0.720","0.720","0.720","0.720","0.50K","-4.00%"
"03/02/2015","0.750","0.750","0.750","0.750","163.21K","-1.32%"
"03/01/2015","0.760","0.740","0.760","0.740","88.82K","1.33%"
"02/26/2015","0.750","0.750","0.750","0.750","1.10K","-1.32%"
"02/25/2015","0.760","0.750","0.760","0.750","4.03K","1.33%"
"02/24/2015","0.750","0.720","0.750","0.720","252.37K","2.74%"
"02/23/2015","0.730","0.730","0.730","0.730","0.62K","-6.41%"
"02/22/2015","0.780","0.790","0.790","0.770","204.09K","4.00%"
"02/19/2015","0.750","0.750","0.750","0.750","539.85K","-3.85%"
"02/18/2015","0.780","0.770","0.780","0.770","342.21K","1.30%"
"02/17/2015","0.770","0.760","0.770","0.750","399.46K","0.00%"
"02/16/2015","0.770","0.770","0.790","0.770","341.23K","-2.53%"
"02/15/2015","0.790","0.800","0.800","0.790","36.24K","1.28%"
"02/12/2015","0.780","0.780","0.780","0.780","0.36K","-2.50%"
"02/11/2015","0.800","0.790","0.800","0.790","376.10K","1.27%"
"02/10/2015","0.790","0.800","0.800","0.790","461.38K","-1.25%"
"02/09/2015","0.800","0.780","0.800","0.780","479.23K","0.00%"
"02/08/2015","0.800","0.800","0.820","0.790","218.24K","1.27%"
"02/05/2015","0.790","0.800","0.800","0.780","9.99K","-1.25%"
"02/04/2015","0.800","0.750","0.800","0.750","3.00K","-2.44%"
"02/03/2015","0.820","0.800","0.820","0.800","50.00K","2.50%"
